,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'-0:0:0.0,90,1762
'0:0:0.05,90,1766
'0:0:0.1,90,1769
'0:0:0.15,90,1770
'0:0:0.2,90,1768
'0:0:0.25,90,1764
'0:0:0.3,90,1756
'0:0:0.35,90,1749
'0:0:0.4,90,1742
'0:0:0.45,90,1735
'0:0:0.5,90,1727
'0:0:0.55,90,1721
'0:0:0.6,90,1715
'0:0:0.65,90,1709
'0:0:0.7,90,1702
'0:0:0.75,90,1697
'0:0:0.8,90,1694
'0:0:0.85,90,1693
'0:0:0.9,90,1693
'0:0:0.95,90,1691
'0:0:1.0,90,1688
'0:0:1.05,90,1686
'0:0:1.1,90,1684
'0:0:1.15,90,1683
'0:0:1.2,90,1681
'0:0:1.25,90,1679
'0:0:1.3,90,1677
'0:0:1.35,90,1674
'0:0:1.4,90,1671
'0:0:1.45,90,1669
'0:0:1.5,90,1670
'0:0:1.55,90,1671
'0:0:1.6,90,1672
'0:0:1.65,90,1670
'0:0:1.7,90,1668
'0:0:1.75,90,1667
'0:0:1.8,90,1665
'0:0:1.85,90,1664
'0:0:1.9,90,1662
'0:0:1.95,90,1660
'0:0:2.0,90,1658
'0:0:2.05,90,1655
'0:0:2.1,88,1652
'0:0:2.15,88,1649
'0:0:2.2,88,1649
'0:0:2.25,88,1649
'0:0:2.3,88,1649
'0:0:2.35,88,1649
'0:0:2.4,88,1647
'0:0:2.45,88,1645
'0:0:2.5,88,1643
'0:0:2.55,88,1642
'0:0:2.6,88,1645
'0:0:2.65,88,1649
'0:0:2.7,88,1655
'0:0:2.75,88,1660
'0:0:2.8,88,1664
'0:0:2.85,87,1669
'0:0:2.9,87,1676
'0:0:2.95,87,1684
'0:0:3.0,87,1691
'0:0:3.05,87,1695
'0:0:3.1,87,1701
'0:0:3.15,87,1706
'0:0:3.2,87,1711
'0:0:3.25,87,1716
'0:0:3.3,87,1723
'0:0:3.35,87,1731
'0:0:3.4,87,1739
'0:0:3.45,87,1746
'0:0:3.5,86,1753
'0:0:3.55,86,1758
'0:0:3.6,86,1765
'0:0:3.65,86,1771
'0:0:3.7,86,1777
'0:0:3.75,86,1781
'0:0:3.8,86,1782
'0:0:3.85,86,1778
'0:0:3.9,86,1773
'0:0:3.95,86,1768
'0:0:4.0,86,1766
'0:0:4.05,86,1765
'0:0:4.1,86,1763
'0:0:4.15,87,1761
'0:0:4.2,87,1759
'0:0:4.25,87,1759
'0:0:4.3,87,1760
'0:0:4.35,87,1761
'0:0:4.4,87,1760
'0:0:4.45,87,1758
'0:0:4.5,87,1758
'0:0:4.55,87,1758
'0:0:4.6,87,1757
'0:0:4.65,87,1757
'0:0:4.7,87,1756
'0:0:4.75,87,1754
'0:0:4.8,88,1751
'0:0:4.85,88,1750
'0:0:4.9,88,1752
'0:0:4.95,88,1755
'0:0:5.0,88,1756
'0:0:5.05,88,1755
'0:0:5.1,88,1755
'0:0:5.15,88,1754
'0:0:5.2,88,1754
'0:0:5.25,88,1753
'0:0:5.3,88,1752
'0:0:5.35,88,1752
'0:0:5.4,88,1749
'0:0:5.45,89,1746
'0:0:5.5,89,1746
'0:0:5.55,89,1747
'0:0:5.6,89,1749
'0:0:5.65,89,1749
'0:0:5.7,89,1746
'0:0:5.75,89,1742
'0:0:5.8,89,1737
'0:0:5.85,89,1734
'0:0:5.9,89,1730
'0:0:5.95,89,1729
'0:0:6.0,89,1729
'0:0:6.05,89,1728
'0:0:6.1,89,1728
'0:0:6.15,89,1733
'0:0:6.2,89,1743
'0:0:6.25,89,1751
'0:0:6.3,89,1757
'0:0:6.35,89,1760
'0:0:6.4,89,1762
'0:0:6.45,89,1763
'0:0:6.5,89,1762
'0:0:6.55,89,1761
'0:0:6.6,89,1760
'0:0:6.65,89,1756
'0:0:6.7,89,1749
'0:0:6.75,89,1743
'0:0:6.8,89,1740
'0:0:6.85,89,1741
'0:0:6.9,89,1742
'0:0:6.95,89,1741
'0:0:7.0,89,1738
'0:0:7.05,89,1733
'0:0:7.1,89,1729
'0:0:7.15,89,1723
'0:0:7.2,89,1718
'0:0:7.25,89,1714
'0:0:7.3,89,1708
'0:0:7.35,89,1700
'0:0:7.4,91,1695
'0:0:7.45,91,1693
'0:0:7.5,91,1693
'0:0:7.55,91,1693
'0:0:7.6,91,1691
'0:0:7.65,91,1689
'0:0:7.7,91,1687
'0:0:7.75,91,1687
'0:0:7.8,91,1684
'0:0:7.85,91,1681
'0:0:7.9,91,1677
'0:0:7.95,91,1672
'0:0:8.0,92,1665
'0:0:8.05,92,1662
'0:0:8.1,92,1660
'0:0:8.15,92,1660
'0:0:8.2,92,1659
'0:0:8.25,92,1656
'0:0:8.3,92,1654
'0:0:8.35,92,1653
'0:0:8.4,92,1652
'0:0:8.45,92,1651
'0:0:8.5,92,1649
'0:0:8.55,92,1649
'0:0:8.6,92,1649
'0:0:8.65,92,1649
'0:0:8.7,92,1651
'0:0:8.75,92,1656
'0:0:8.8,92,1662
'0:0:8.85,92,1667
'0:0:8.9,92,1672
'0:0:8.95,92,1676
'0:0:9.0,92,1681
'0:0:9.05,92,1689
'0:0:9.1,92,1698
'0:0:9.15,92,1706
'0:0:9.2,92,1714
'0:0:9.25,92,1722
'0:0:9.3,92,1729
'0:0:9.35,92,1735
'0:0:9.4,92,1744
'0:0:9.45,92,1752
